Comment,label
整体来说真的很不错。性价比很高，下次还会继续光顾！,positive
会往下掉,negative
质量不好，半天没到就勾丝，还是一拉到头的拖丝，那么多好评不知道哪来的,negative
价格便宜，质量不错，值得购买,positive
丝袜收到了，质量很好，穿着舒服，透气性好，弹力够大,positive
质量很不错，不勾丝购买满意点个赞,positive
穿来穿去，还是这价的丝袜实惠又好穿，不容易拉丝有弹性，一条可以穿很久。,positive
质量不错，价格也不贵，良心卖家，好评,positive
此用户没有填写评论!,negative
质量非常好 不勾丝  不假白,positive
很不错，很满意，物流也很快,positive
很不错的一款产品，性价比高,positive
版型都很满意，有弹性，完全就是我想要的样子，不管是版型还是质量让好我开心,positive
质量很棒  颜色好看  一点不假  上身效果特别好  推荐,positive
质量很好，大小合适，很舒服，值得购买,positive
一天下来没发现，起球的情况颜色自然真的是值得推荐可以搭配裙子穿的时候我稍微用力拽了拽还是很结实的显得腿挺好看的，光滑感十足，positive
此用户没有填写评论!,negative
穿一次就这样质量太差了吧,negative
还没穿先备着吧，浪莎质量还是不错的,positive
想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！,positive
说话很一般，穿一次就坏了,negative
发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买,positive
挺好,positive
质量特别差，千万不要买，negative
(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！,positive
质量不错 不脱丝,positive
几个颜色都是我喜欢的，可以穿裙子啦，质量超级好，宝宝门们赶紧囤起来,positive
服务态度很好，性价比很高，做工精细穿起来很舒服,positive
特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！,positive
一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品,positive
真的很好，性价比也很高，质量也很好，物流也快啊！一天就到货了！,positive
浪莎现在也这么糊弄买家了吗？,negative
质量特别好，款式好看，价格便宜，物超所值，老板发货速度也很快，值得大家放心购买吧,positive
这次包装是最好的一次了，没有损坏,positive
商品质量很好，谢谢良心卖家，会继续光临本店！祝生意兴隆，财源广进！,positive
质量太差 服务差 ，退也退不了,negative
很喜欢很喜欢,positive
