Comment,Class
快就是手感满意也好喜欢也流畅很服务态度实用超快挺快用着速度礼品也不错非常好挺好感觉才来还行好看也快不错的送了非常不错超级赞好多东西很实用各方面挺好的很多漂亮\配件还不错也多特意慢满分好用非常漂亮外观卖家质量评价还可以老板钢化哦值得信赖很好是快递几天李小冉赵丽颖还会棒一段时间用的很赞值得像素美全收到了挺好用是好些漫妮宋慧乔有需要林妙可有点足开错也相当物流耐心很全挺多其他漂亮的非常喜欢总体没的说儿子都很合适好多赵奕欢秦岚运行高大运行速度原装追加热心很好用赠品范晓萱款式超多来说非常满意再来反应速度店家小礼品试用外形整体光顾了几习惯萧亚轩宋佳完美张惠妹刘若英林志玲蔡依林机子一大堆满意的应该是感谢用了我老公不太比张韶涵真品推荐给孙燕姿超好的顶峰服务唯一感觉不错张含韵确实很多东西晚了倍挺很喜欢的很好的愉快的电池很好看真货戚薇实惠都满意习惯性帮赞一个绝对吴千语谢谢发热应采儿非常杨颖朱丹唐嫣正品行货速度快喜欢的很高还没有发现真棒老公正货杨幂郑秀妍梁静茹一致细心谢娜王心凌服务一流也都是考虑周到行货很好很好林允儿密封的何洁张雨绮用过一段时间还是老样子耐用舒淇的服务特快用用未,1
   差评，说好的返现返现都是骗人。东西很差  很垃圾,-1
"  售后真是差 买了不到15天锁屏键出现故障,申请换货过了审核说上门取件了 等了几天没人来 然后再查看进度就又进审核了 问客服怎么回事 说我说已经维修好了 不需要售后服务了. 我什么都没动就说我这样.然后我说现在怎么办.她说让我取消重新提交一次,取消了之后再也没有上门提取 和换货这服务了.她给我的解释是可能刚取消所以没有让我等.  我当初就是看那些评论说售后好买的. 别被人迷惑了.售后真是差.建议还是去实体店买把  那些给好评的我不知道是内部人员还是没用就评的  真是害人",-1
  郁闷啊多等2天多无线充 充电宝和贴膜  和京东沟通没补发 心里那个郁闷啊不摆了  失败  失败  但东西还是 不错滴,-1
 今天去贴膜时才看到在卡槽右面有一处很小的刻痕，很是郁闷,-1
，三星屏幕就是垃圾，碎的一塌糊涂，不要再买,-1
，冲着几千块钱去的，我看，什么锤子屏幕，10厘米不到竟然角被摔破了，差，差，差，重要的事情说三遍。防水，防尘，就是不防摔，怪不得推出碎屏保，就是清楚屏幕质量差。,-1
，放卡进去一直搞不出4g，第二天到3星专卖店让人鼓捣了20分钟才有，晕死了。另外充电时看视频处于发烧状态，微信点赞不灵光，来电接听你若在看微信，我考不知怎样接，有些方面还不如s3，唯一能赞的就是运行速度超快，看视频不卡。客服服务太一般，好像文字是做飞机去的，半天才有回应，售后也一样。唉，不说了。,-1
????????差差差差。。。。别的不多说，那做工真叫一个烂烂。。。,-1
(?_?)手机拿到手发现屏幕上面有小黑点(?&bull; . &bull;?)，虽然很小但&hellip;&hellip;,-1
*，老子昨天刚买就降价，还不能领取减100的券！恶心*,-1
**的*，618卖的都是问题机，真**的气人，*买买个二手机子，谁***爽？,-1
*元手机。其他优点没发现,-1
"*实体店****,差评，没什么好说的",-1
*店大欺客，不讲信用，欺诈顾客！！！！！！！！！！！别的说多了都心累，你们看其他评论也能知道怎么回事多余的我也不说了，以后他们家的东西大家就看着办吧,-1
*拉机，客服骗人说内存卡没货了，以后都不会赠了，结果我拍的第二天就有了！！！,-1
*玛摔了一小下屏就碎了，去客服修吧，修完后有缝隙没粘住，第二天又翻修，倒腾了半天还是依旧，*还说我把框摔变形了，不到半米高，就变形了，好。三星牛比！发完评论，我就把手机摔了，你*用老人机我都不用破三星了！！！,-1
&zwj;卡死&zwj;了 &zwj;终究还是&zwj;信不过安卓，&zwj;真想说&zwj;给我的是次品,-1
~京东服务真垃圾，联系我购买了399服务，手机出了问题，双方互相踢皮球 谁也不给管，京东客服工号 52428 前面说的话，一会自己全部不承认，还说我以后也找不到他，还好，我手机都有录音，希望向有关能给给与消费者一个说法,-1
